City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,22.16,85,10,3.26,PN,1697503505
1,blackmans bay,-43.0167,147.3167,16.52,48,11,0.45,AU,1697503506
2,fisterra,42.9049,-9.2629,22.23,77,100,13.0,ES,1697503506
3,ust-nera,64.5667,143.2,-15.99,94,53,1.34,RU,1697503506
4,yelizovo,53.1873,158.3805,9.08,66,75,8.05,RU,1697503506
5,al wajh,26.2455,36.4525,22.97,60,0,2.06,SA,1697503431
6,isafjordur,66.0755,-23.124,0.35,83,100,3.29,IS,1697503507
7,fort bragg,35.139,-79.006,13.75,71,100,1.54,US,1697503507
8,fada,9.5667,8.3,21.25,87,100,0.45,NG,1697503507
9,pisco,-13.7,-76.2167,20.03,83,75,6.17,PE,1697503461
10,invercargill,-46.4,168.35,11.68,62,66,4.92,NZ,1697503508
11,gadzhiyevo,69.2551,33.3362,3.25,75,100,11.92,RU,1697503508
12,visegrad,43.7847,19.2992,6.31,66,100,0.5,BA,1697503509
13,ribeira grande,38.5167,-28.7,18.76,89,100,0.89,PT,1697503509
14,west island,-12.1568,96.8225,25.99,89,75,6.17,CC,1697503510
15,colonia,50.9333,6.95,8.25,88,0,2.06,DE,1697503510
16,sitka,57.0531,-135.33,14.94,58,75,7.72,US,1697503510
17,papatowai,-46.5619,169.4708,10.19,50,78,5.03,NZ,1697503510
18,pandan,14.0453,124.1694,28.3,80,100,4.28,PH,1697503423
19,port lincoln,-34.7333,135.8667,15.34,61,13,6.05,AU,1697503511
20,avarua,-21.2078,-159.775,23.03,64,75,5.14,CK,1697503511
21,rongelap,11.1635,166.8941,28.7,76,3,8.21,MH,1697503517
22,yellowknife,62.456,-114.3525,6.29,97,20,3.6,CA,1697503262
23,popondetta,-8.7537,148.2534,30.78,60,75,2.99,PG,1697503517
24,iqaluit,63.7506,-68.5145,-8.15,86,20,4.63,CA,1697503518
25,kununurra,-15.7667,128.7333,32.99,18,0,3.6,AU,1697503287
26,stranraer,54.9023,-5.0273,8.74,80,2,5.37,GB,1697503518
27,college,64.8569,-147.8028,7.97,49,75,1.54,US,1697503336
28,arraial do cabo,-22.9661,-42.0278,22.58,94,50,11.05,BR,1697503519
29,port blair,11.6667,92.75,26.02,94,40,1.03,IN,1697503519
30,nyala,12.05,24.8833,26.07,49,100,2.03,SD,1697503520
31,lihue,21.9789,-159.3672,28.77,68,20,4.12,US,1697503520
32,twon-brass,4.3151,6.2418,26.01,83,34,3.32,NG,1697503520
33,chonchi,-42.6128,-73.8092,8.56,96,11,1.78,CL,1697503520
34,la passe,45.5549,-0.8967,16.13,64,100,6.5,FR,1697503521
35,genhe,50.7833,121.5167,5.06,37,10,1.35,CN,1697503521
36,atafu village,-8.5421,-172.5159,28.18,78,100,6.98,TK,1697503521
37,quiberon,47.4841,-3.1196,14.0,68,100,5.36,FR,1697503521
38,saynshand,44.8824,110.1163,8.92,36,100,7.36,MN,1697503522
39,hadibu,12.65,54.0333,26.89,75,1,1.39,YE,1697503522
40,revda,56.801,59.9303,7.51,79,10,3.94,RU,1697503522
41,alice springs,-23.7,133.8833,22.75,20,0,8.75,AU,1697503523
42,devrek,41.2192,31.9558,11.04,95,100,1.33,TR,1697503523
43,port-aux-francais,-49.35,70.2167,2.75,89,96,12.6,TF,1697503524
44,longyearbyen,78.2186,15.6401,-5.09,63,20,4.12,SJ,1697503524
45,sao vicente,-23.9631,-46.3919,31.1,26,100,1.34,BR,1697503524
46,poronaysk,49.2167,143.1167,5.72,90,100,5.74,RU,1697503524
47,kerikeri,-35.2268,173.9474,19.95,91,67,0.89,NZ,1697503524
48,umm kaddadah,13.6017,26.6876,28.32,19,100,8.02,SD,1697503525
49,barrouallie,13.2333,-61.2667,27.79,74,40,4.12,VC,1697503525
50,mizunami,35.3667,137.25,21.32,56,0,3.5,JP,1697503525
51,san patricio,28.017,-97.5169,22.52,41,0,2.98,US,1697503526
52,saipan,15.1355,145.701,28.39,83,20,4.63,MP,1697503526
53,lerwick,60.1545,-1.1494,11.0,87,100,10.1,GB,1697503231
54,ust'-ilimsk,58.0006,102.6619,1.36,92,100,3.58,RU,1697503526
55,inirida,3.8653,-67.9239,23.12,87,37,0.41,CO,1697503527
56,leninskoye,41.7589,69.3864,9.69,44,0,1.17,KZ,1697503527
57,rosa zarate,0.3333,-79.4667,23.96,94,100,1.29,EC,1697503527
58,wailua homesteads,22.0669,-159.378,28.44,75,20,4.12,US,1697503528
59,punta arenas,-53.15,-70.9167,7.06,70,40,7.72,CL,1697503528
60,ambon,-3.6954,128.1814,29.37,95,40,3.09,ID,1697503528
61,bereket,39.2446,55.5154,18.38,27,100,3.58,TM,1697503529
62,bethel,41.3712,-73.414,12.74,83,100,0.0,US,1697503529
63,kavieng,-2.5744,150.7967,29.02,66,97,1.45,PG,1697503529
64,waitangi,-43.9535,-176.5597,15.46,83,73,4.02,NZ,1697503529
65,edinburgh of the seven seas,-37.0676,-12.3116,12.01,72,45,4.39,SH,1697503529
66,xilin hot,43.9667,116.0333,11.97,38,98,4.8,CN,1697503530
67,chibougamau,49.9168,-74.3659,2.79,87,0,2.06,CA,1697503530
68,kismayo,-0.3582,42.5454,25.86,90,84,4.04,SO,1697503530
69,phanom thuan,14.1303,99.6986,25.99,82,89,2.62,TH,1697503531
70,beihai,21.4833,109.1,25.24,60,100,4.24,CN,1697503531
71,tazacorte,28.629,-17.9293,24.54,34,0,3.13,ES,1697503531
72,trail,49.0998,-117.7022,18.32,69,100,1.6,CA,1697503477
73,alpine,32.835,-116.7664,25.86,51,0,3.6,US,1697503532
74,san antonio de pale,-1.4014,5.6325,25.75,80,100,5.68,GQ,1697503533
75,luderitz,-26.6481,15.1594,19.84,45,0,3.6,NA,1697503248
76,margaret river,-33.95,115.0667,21.69,56,100,3.3,AU,1697503533
77,gaomi,36.3833,119.7528,18.77,45,0,2.67,CN,1697503534
78,ushuaia,-54.8,-68.3,6.81,98,75,7.2,AR,1697503534
79,grytviken,-54.2811,-36.5092,-0.22,94,48,4.58,GS,1697503534
80,puerto natales,-51.7236,-72.4875,4.73,91,100,4.3,CL,1697503534
81,paoua,7.2427,16.4406,19.55,95,31,0.84,CF,1697503535
82,villa gesell,-37.2639,-56.973,11.25,93,12,8.3,AR,1697503254
83,brande,55.9381,9.1218,5.96,69,100,3.3,DK,1697503535
84,langarud,37.197,50.1535,16.93,88,63,2.15,IR,1697503535
85,papao,-17.75,-149.55,28.82,83,100,6.5,PF,1697503536
86,jacksonville,30.3322,-81.6556,17.06,75,100,2.06,US,1697503366
87,weno,7.4515,151.8468,28.97,84,75,0.0,FM,1697503536
88,bilibino,68.0546,166.4372,-10.58,94,99,1.7,RU,1697503536
89,bouar,5.934,15.596,18.61,93,100,1.52,CF,1697503537
90,enewetak,11.3474,162.3373,28.96,75,10,6.34,MH,1697503537
91,nova sintra,14.8667,-24.7167,25.44,71,29,6.31,CV,1697503537
92,mabaruma,8.2,-59.7833,26.35,83,91,1.8,GY,1697503538
93,kimbe,-5.5502,150.1429,31.3,58,95,2.19,PG,1697503538
94,kamaishi,39.2667,141.8833,15.91,60,38,8.52,JP,1697503538
95,albany,42.6001,-73.9662,11.34,77,100,1.79,US,1697503536
96,djamaa,33.5339,5.9931,22.48,24,6,3.13,DZ,1697503539
97,hasaki,35.7333,140.8333,22.94,64,0,6.41,JP,1697503539
98,hpa-an,16.8906,97.6333,25.0,92,43,1.07,MM,1697503539
99,kavaratti,10.5669,72.642,27.92,76,100,4.41,IN,1697503540
100,tara,56.8944,74.371,9.99,85,82,3.58,RU,1697503540
101,kodinsk,58.6881,99.1844,1.91,98,100,2.73,RU,1697503541
102,henderson,36.0397,-114.9819,33.01,12,0,2.06,US,1697503165
103,hermanus,-34.4187,19.2345,15.13,90,10,4.53,ZA,1697503541
104,fereydunshahr,32.941,50.121,6.21,76,49,2.01,IR,1697503541
105,charlottetown,46.2352,-63.1267,9.32,92,100,6.71,CA,1697503200
106,nar'yan-mar,67.6713,53.087,1.17,89,85,4.02,RU,1697503542
107,suntar,62.1444,117.6319,2.3,99,100,2.24,RU,1697503542
108,richards bay,-28.783,32.0377,18.59,90,100,8.67,ZA,1697503542
109,alliance,40.9153,-81.1059,10.78,94,100,3.69,US,1697503543
110,selibaby,15.159,-12.1829,29.15,30,0,4.03,MR,1697503543
111,port elizabeth,-33.918,25.5701,16.29,93,75,4.12,ZA,1697503543
112,udachny,66.4167,112.4,-3.64,100,95,0.85,RU,1697503544
113,viedma,-40.8135,-62.9967,6.74,74,0,2.23,AR,1697503544
114,shamkhor,40.8297,46.0189,13.2,66,19,3.95,AZ,1697503544
115,mejit,10.2753,170.8646,28.3,72,69,6.62,MH,1697503544
116,ilulissat,69.2167,-51.1,-7.99,73,75,10.8,GL,1697503545
117,kenai,60.5544,-151.2583,8.94,68,40,7.72,US,1697503501
118,olonkinbyen,70.9221,-8.7187,0.67,78,98,6.7,SJ,1697503545
119,nantucket,41.2835,-70.0995,12.06,80,75,3.09,US,1697503428
120,georgetown,5.4112,100.3354,27.96,84,20,2.68,MY,1697503510
121,birjand,32.8663,59.2211,9.26,29,0,3.09,IR,1697503267
122,batie,9.8833,-2.9167,24.01,85,95,2.16,BF,1697503546
123,broken hill,-31.95,141.4333,16.45,32,0,5.88,AU,1697503472
124,vikhorevka,56.1201,101.1636,1.77,97,100,3.74,RU,1697503547
125,hawaiian paradise park,19.5933,-154.9731,28.74,74,75,6.17,US,1697503547
126,utrik,11.2278,169.8474,28.26,76,29,7.14,MH,1697503548
127,callao,-12.0667,-77.15,20.4,77,100,4.63,PE,1697503548
128,lebu,-37.6167,-73.65,9.93,84,0,9.66,CL,1697503548
129,cabo san lucas,22.8909,-109.9124,32.17,66,0,2.06,MX,1697503272
130,kruisfontein,-34.0033,24.7314,12.43,95,0,2.31,ZA,1697503549
131,shahrak,34.1074,64.3052,2.81,46,0,1.63,AF,1697503549
132,kandi,11.1342,2.9386,23.86,86,100,2.49,BJ,1697503550
133,gebeit,21.0667,36.3167,22.0,61,0,2.11,SD,1697503550
134,vorgashor,67.5833,63.95,1.76,97,100,4.81,RU,1697503550
135,baki,-7.6128,110.7839,30.22,54,14,3.27,ID,1697503550
136,el calafate,-50.3408,-72.2768,5.89,81,66,4.63,AR,1697503551
137,nkove,-7.95,30.85,24.65,72,100,1.12,TZ,1697503551
138,puri,19.8,85.85,25.29,77,6,2.39,IN,1697503551
139,ceerigaabo,10.6162,47.368,17.55,31,27,1.61,SO,1697503551
140,necochea,-38.5473,-58.7368,8.83,82,0,7.17,AR,1697503439
141,illizi,26.4833,8.4667,22.89,21,12,1.8,DZ,1697503552
142,nova vicosa,-17.8919,-39.3719,23.51,79,18,2.87,BR,1697503553
143,bredasdorp,-34.5322,20.0403,14.0,93,93,2.51,ZA,1697503553
144,puerto baquerizo moreno,-0.9,-89.6,23.73,81,78,3.25,EC,1697503553
145,arteche,12.2645,125.4048,29.22,69,29,2.32,PH,1697503554
146,hailey,43.5196,-114.3153,17.22,53,0,2.24,US,1697503554
147,thompson,55.7435,-97.8558,10.09,76,75,1.03,CA,1697503339
148,kapuskasing,49.4169,-82.4331,5.0,81,20,1.03,CA,1697503555
149,tuy hoa,13.0833,109.3,26.75,80,76,3.24,VN,1697503555
150,wenchang,30.904,118.4887,21.49,55,0,1.95,CN,1697503555
151,istgah-e rah ahan-e garmsar,35.2346,52.3094,19.02,51,15,1.87,IR,1697503556
152,codrington,-38.2667,141.9667,15.02,51,0,2.43,AU,1697503556
153,vernon,50.2581,-119.2691,17.2,71,100,0.51,CA,1697503557
154,malabar,-33.9667,151.25,16.77,77,75,9.77,AU,1697503557
155,beloha,-25.1667,45.05,20.71,76,100,2.85,MG,1697503557
156,columbia falls,48.3725,-114.1815,15.82,72,0,0.0,US,1697503558
157,flin flon,54.7682,-101.865,9.44,67,0,1.86,CA,1697503259
158,isangel,-19.55,169.2667,28.06,69,40,8.75,VU,1697503558
159,broome,42.2506,-75.833,11.05,93,94,0.45,US,1697503558
160,polyarnyy,69.1989,33.4478,3.33,78,100,11.58,RU,1697503559
161,kodiak,57.79,-152.4072,8.73,93,75,1.54,US,1697503559
162,mahibadhoo,3.7833,72.9667,27.87,73,52,7.1,MV,1697503559
163,la ronge,55.1001,-105.2842,14.14,54,20,1.54,CA,1697503560
164,horncastle,53.2077,-0.1172,10.81,87,75,2.57,GB,1697503560
165,aykhal,66.0,111.5,-3.85,94,89,4.92,RU,1697503560
166,pilar,-9.5972,-35.9567,22.96,88,100,0.76,BR,1697503560
167,deqen,29.9618,90.7188,4.1,70,70,1.94,CN,1697503561
168,mantua,45.1667,10.7833,12.97,63,100,0.89,IT,1697503561
169,greymouth,-42.4667,171.2,10.46,87,100,1.83,NZ,1697503561
170,okhotsk,59.3833,143.3,-5.49,70,46,9.52,RU,1697503561
171,norilsk,69.3535,88.2027,-1.43,96,100,1.69,RU,1697503562
172,alofi,-19.0595,-169.9187,23.94,78,75,7.72,NU,1697503562
173,tiksi,71.6872,128.8694,-12.89,93,97,3.12,RU,1697503562
174,stanley,54.868,-1.6985,-0.12,100,0,0.51,GB,1697503562
175,anshun,26.25,105.9333,16.15,80,0,3.56,CN,1697503563
176,pacific grove,36.6177,-121.9166,22.43,75,0,2.57,US,1697503563
177,crane,31.3974,-102.3501,19.44,34,0,3.43,US,1697503564
178,kingston,17.997,-76.7936,29.53,86,40,3.09,JM,1697503013
179,baruun-urt,46.6806,113.2792,6.33,54,100,5.85,MN,1697503564
180,sao joao da barra,-21.6403,-41.0511,25.05,90,11,7.26,BR,1697503564
181,monrovia,6.3005,-10.7969,24.87,87,95,2.94,LR,1697503564
182,aden,12.7794,45.0367,28.28,70,9,5.66,YE,1697503565
183,peace river,56.2501,-117.286,15.17,54,100,5.14,CA,1697503565
184,geraldton,-28.7667,114.6,24.23,60,0,3.6,AU,1697503565
185,cozumel,20.5083,-86.9458,27.19,72,40,6.69,MX,1697503523
186,knyaze-volkonskoye,48.4642,135.4567,4.19,77,100,1.34,RU,1697503566
187,quellon,-43.1167,-73.6167,6.95,86,0,4.79,CL,1697503566
188,noyabrsk,63.1994,75.4507,3.46,97,100,7.6,RU,1697503566
189,alesund,62.4723,6.1549,10.97,93,100,8.75,NO,1697503567
190,amga,60.8953,131.9608,-7.23,73,100,1.34,RU,1697503291
191,brandon,27.9378,-82.2859,18.92,69,0,2.68,US,1697503567
192,ulan bator,47.9077,106.8832,-6.93,93,0,3.0,MN,1697503275
193,kayangel,8.0823,134.7173,27.81,77,80,2.14,PW,1697503568
194,fortuna,40.5982,-124.1573,19.4,96,100,0.0,US,1697503568
195,ashland,40.8167,-82.2665,10.49,97,100,4.6,US,1697503483
196,midvagur,62.0511,-7.1939,8.46,87,100,2.57,FO,1697503569
197,ceeldheer,3.8488,47.1806,26.09,84,65,3.25,SO,1697503569
198,tura,25.5198,90.2201,21.13,86,0,1.11,IN,1697503569
199,khanty-mansiysk,61.0042,69.0019,9.06,100,75,2.0,RU,1697503570
200,walvis bay,-22.9575,14.5053,13.53,94,0,0.51,NA,1697503570
201,turtas,58.9417,69.1325,8.73,96,96,3.0,RU,1697503570
202,mogocha,53.7333,119.7667,0.97,48,100,0.89,RU,1697503570
203,saldanha,-33.0117,17.9442,19.03,70,0,2.95,ZA,1697503571
204,sona,45.4388,10.8255,12.14,65,75,2.06,IT,1697503571
205,palopo,-2.9996,120.1921,29.31,64,7,1.58,ID,1697503571
206,wanning,18.8003,110.3967,25.46,93,100,5.72,CN,1697503571
207,coalinga,36.1397,-120.3602,28.14,32,100,2.68,US,1697503549
208,beaufort west,-32.3567,22.583,11.74,91,25,3.84,ZA,1697503572
209,at-bashi,41.1702,75.8106,4.46,56,97,2.52,KG,1697503572
210,morehead city,34.7229,-76.726,14.99,75,75,1.54,US,1697503412
211,st. john's,47.5649,-52.7093,9.43,97,100,8.75,CA,1697503531
212,klyuchi,52.2667,79.1667,9.3,68,100,3.91,RU,1697503573
213,puerto ayora,-0.7393,-90.3518,24.19,94,10,1.79,EC,1697503574
214,atbasar,51.8,68.3333,8.6,79,9,3.12,KZ,1697503574
215,vila franca do campo,37.7167,-25.4333,20.49,99,91,3.93,PT,1697503574
216,cidade velha,14.9167,-23.6167,28.26,54,20,5.66,CV,1697503575
217,talnakh,69.4865,88.3972,-1.55,96,100,2.02,RU,1697503575
218,kencong,-8.2833,113.3667,28.9,62,91,1.19,ID,1697503575
219,itumbiara,-18.4192,-49.2153,28.87,42,3,3.57,BR,1697503576
220,kolondieba,11.0882,-6.8926,23.29,91,100,1.46,ML,1697503576
221,mamuju,-2.6748,118.8885,29.59,66,2,1.02,ID,1697503576
222,mangrol,21.1167,70.1167,25.19,80,7,4.74,IN,1697503576
223,severo-yeniseyskiy,60.3725,93.0408,0.88,90,100,4.02,RU,1697503577
224,afaahiti,-17.75,-149.2833,27.93,83,100,5.51,PF,1697503577
225,natal,-5.795,-35.2094,25.36,78,20,3.6,BR,1697503577
226,port alfred,-33.5906,26.891,15.1,95,55,6.62,ZA,1697503562
227,uige,-7.6087,15.0613,19.57,98,100,0.69,AO,1697503578
228,saint-philippe,-21.3585,55.7679,23.77,88,83,1.67,RE,1697503578
229,nguigmi,14.2495,13.1092,29.51,35,99,3.22,NE,1697503578
230,badger,64.8,-147.5333,7.93,49,75,1.54,US,1697503578
231,nyagan,62.1406,65.3936,8.01,82,100,2.54,RU,1697503579
232,curvelo,-18.7564,-44.4308,25.75,49,3,3.63,BR,1697503579
233,brokopondo,4.75,-55.1667,26.76,79,32,4.38,SR,1697503579
234,limon,10.0,-83.0333,26.7,79,100,1.17,CR,1697503579
235,aljezur,37.3191,-8.8033,22.29,80,75,8.13,PT,1697503580
236,tarnow,50.0138,20.987,3.55,79,72,2.11,PL,1697503580
237,laojunmiao,39.8333,97.7333,3.81,45,100,2.36,CN,1697503580
238,new mirpur,33.1418,73.7674,15.97,79,100,1.92,PK,1697503581
239,la'ie,21.6477,-157.9253,30.98,68,91,2.68,US,1697503581
240,ulricehamn,57.7916,13.4142,1.3,95,28,3.97,SE,1697503581
241,general acha,-37.377,-64.6043,13.36,33,0,6.74,AR,1697503582
242,zhangye,38.9342,100.4517,10.17,34,91,0.61,CN,1697503582
243,nagqu,31.5,92.0,-0.25,44,99,2.05,CN,1697503582
244,whitburn,54.9533,-1.3686,0.23,72,0,2.14,GB,1697503582
245,irkutsk,52.2978,104.2964,2.38,93,0,1.0,RU,1697503367
246,luanco,43.6152,-5.7934,19.45,87,100,4.25,ES,1697503583
247,alaghsas,17.0187,8.0168,28.51,19,66,5.38,NE,1697503583
248,bousse,12.6606,-1.8922,27.42,60,100,4.26,BF,1697503583
249,erenhot,43.6475,111.9767,11.51,31,100,6.34,CN,1697503584
250,muli,2.9167,73.5667,27.64,73,32,7.21,MV,1697503584
251,hammerfest,70.6634,23.6821,0.25,93,75,2.06,NO,1697503584
252,egilsstadir,65.2653,-14.3948,-0.05,100,100,1.03,IS,1697503584
253,carnarvon,-24.8667,113.6333,28.6,36,0,4.19,AU,1697503585
254,tannum sands,-23.9504,151.3693,32.08,51,0,7.2,AU,1697503585
255,burang,30.25,81.1667,-0.57,69,100,3.32,CN,1697503585
256,hamilton,39.1834,-84.5333,12.07,81,100,3.09,US,1697503564
257,bartica,6.4,-58.6167,28.18,91,67,1.2,GY,1697503586
258,sinabang,2.4803,96.3801,25.27,87,100,3.07,ID,1697503586
259,anadyr,64.75,177.4833,-1.72,79,20,4.0,RU,1697503586
260,tezu,27.9167,96.1667,22.55,65,87,0.81,IN,1697503586
261,argo,37.6333,22.7333,19.88,78,85,2.3,GR,1697503587
262,korocha,50.8107,37.1953,5.4,74,99,8.61,RU,1697503587
263,long,18.0761,99.8326,25.69,94,95,0.73,TH,1697503588
264,kralendijk,12.15,-68.2667,29.99,79,40,5.14,BQ,1697503588
265,iskateley,67.6803,53.1512,1.12,89,87,4.02,RU,1697503588
266,severoural'sk,60.1533,59.952,10.55,85,96,3.71,RU,1697503589
267,sandnessjoen,66.0217,12.6316,0.29,73,100,4.25,NO,1697503589
268,ponta delgada,37.7333,-25.6667,20.66,82,20,4.02,PT,1697503589
269,ziro,27.6333,93.8333,10.41,75,44,0.71,IN,1697503590
270,zhizdra,53.746,34.7395,2.57,90,100,4.58,RU,1697503590
271,qaqortoq,60.7167,-46.0333,0.9,93,85,1.28,GL,1697503590
272,havre,49.5833,0.3333,7.22,76,0,5.14,FR,1697503591
273,yarmouth,41.7057,-70.2286,12.76,86,100,4.92,US,1697503591
274,bekondo,4.6819,9.3214,21.72,98,100,1.3,CM,1697503591
275,ad dabbah,18.05,30.95,25.91,18,19,6.22,SD,1697503591
276,belyy yar,53.6039,91.3903,4.94,81,40,6.0,RU,1697503592
277,dobryanka,58.4619,56.4165,8.29,76,100,4.78,RU,1697503592
278,aasiaat,68.7098,-52.8699,-9.6,95,100,4.25,GL,1697503592
279,dunedin,-45.8742,170.5036,10.14,57,96,4.22,NZ,1697503573
280,amarpur,25.0333,86.9,23.89,79,0,0.25,IN,1697503594
281,sancti spiritus,21.9297,-79.4425,23.7,82,63,2.44,CU,1697503595
